,id,date,dateYear,dateMonth,dateDay,rating,userName,content
0,1,20220627,2022,06,27,5,Michael Lee,광고를 통해 다운로드 받았는데 기존에 쓰던 앱(굿*)보다 이용이 편리하고 피드백이 빨라서 갈아타게 되었습니다. 꼭 코로나가 아니더라도 이용이 용이하여 앞으로도 계속해서 사용할 것 같아요. 주위에도 소개 많이 하겠습니다 번창하세요.
1,2,20220110,2022,01,10,5,Young,신규 서비스 같은데 얼리어답터의 본능을 살려 사용 후기를 남겨봅니다. [장점] 1. 약 재고 확인 필요 없이 (유선 통화) 빠르게 처방이 가능하다. 2. 바쁜 근무시간에 잠시 5분 시간내서 비대면 진료가 가능하다. 3. 바쁜 직장인들한테는 너무 편리하다. [단점] 1. 초기라 그런지 서비스 지역 확장이 되면 더 좋을것 같다. - 이렇게 편리한 서비스니까 금방 확대되리라 기대해봅니다 . 결론: 추천드립니다.
2,3,20220827,2022,08,27,5,Irene,한 번 사용해보고 후기 남깁니다. 좋은 앱인것 같습니다. 앞으로 아프거나 시간적 여유가 없을 때 편리하게 이용할 것 같습니다. 더 많은 병원과 약국이 추가되길 바랍니다:)
3,4,20220618,2022,06,18,5,alice,바쁜 직장인이라 병원 자주 가기가 쉽지 않은데 빠르게 진료볼 수 있어 좋았어요! 비대면이지만 진행 상태가 자세하게 나와서 편했어요. 의사 선생님도 친절하시네요. 서비스 지역 많이 늘었으면 좋겠습디다.
4,5,20220520,2022,05,20,5,Dokyun Lee,너무 유용하게 잘 사용한 앱입니다. 인터페이스도 간결하면서 직관적이고 화상으로 진료받을 때 편하게 받을 수 있었습니다. 앱도 아주 안정적입니다.
5,6,20220703,2022,07,03,5,1day wear,주부라서 포인트 보상받으려고 다운 받았다가 비대면 진료는 처음 해봤는데 어렵지 않고 괜찮았어요! 이런 애들은 사용자가 많아져야 서비스가 더 좋아질거라 주위에도 알려주려구요
6,7,20220718,2022,07,18,5,Sungil Han,광고도 없고 딱 필요한 기능만 있어서 너무 편리해요. 앞으로 더 많은 병원이 채워지겠죠? 아이 키우는 입장에서 기대가 큰 서비스~~
7,8,20220622,2022,06,22,5,임한주,바쁜 현대사회에 꼭 필요한 앱! 의사 선생님도 직접 선택할 수 있고 집 앞으로 약까지 받을 수 있어 너무 편리합니다! 앞으로 자주 이용하게 될 것 같아요~~♡
8,9,20220520,2022,05,20,5,SUMI Jeong,"타앱 사용시 인근 약국에 약이 있는지 전화로 물어 봐야하는 어려움이 있었는데, 메듭은 이번에 이용해보니 화상 통화로 진료 및 약 배달까지 한번에 쉽게 이용가능해서 너무 감사했습니다. 육아로 진료가 어려울때 이용할 수 있어서 너무 좋은 어플이라고 생각합니다."
9,10,20220525,2022,05,25,5,Stella Kim,온가족이 한꺼번에 코로나에 걸리는 바람에 비대면진료를 해도 약을 받아올 사람이 없어서 곤란하던차에 이 앱을 알게 되어 써봤어요. 물론 코로나환자 전담 대면진료병원도 있긴 하지만 밖에 나가기가 좀 그랬는데 정말 편하고 좋더라구요. 아직 등록된 병원이 많지 않은 점이 아쉽지만 우리 동네 등록된 병원은 선생님도 친절하시고 차분히 설명도 잘해주셔서 큰 도움이 됐습니다. 다시 말해 등록된 병원의 서비스질이 사용자에게는 이 앱의 좋고나쁨으로 받아들여질수 있다는 거죠. 좋은 병원이 많이 등록되면 좋겠어요~
